seller_id,orders,gmv_booked,aov_booked,delivered_orders,late_rate,avg_days_vs_estimate,avg_days_late_when_late,avg_review_score
259f7b5e6e482c230e5bfaa670b6bb8f,138,11524.69,83.51,136,0.0221,-12.74,7.42,4.31
25be943a321c8938947bdaabca979a90,5,907.55,181.51,3,0.0000,-9.08,,3.00
25c5c91f63607446a97b143d2d535d31,158,65203.98,412.68,156,0.0705,-11.15,8.07,3.82
25cf099de44674fde97473224f9d59ab,50,2359.55,47.19,50,0.0400,-12.23,5.91,4.33
25debeafbce801fdd479539350185eee,6,579.07,96.51,5,0.0000,-8.16,,2.67
25e47381a6c510ddeb36084e33b89f0c,16,1571.71,98.23,16,0.0000,-12.35,,4.25
25e6ffe976bd75618accfe16cefcbd0d,108,13817.39,127.94,106,0.0566,-12.90,6.16,4.41
262237171f48e85819065498cac80d7b,4,749.00,187.25,4,0.0000,-9.49,,4.25
2646baaf662d4d92ac48f047e35db92d,15,1549.39,103.29,15,0.1333,-10.02,1.83,4.47
26562f211dd1364af2a8596dc945e8ae,2,115.11,57.56,2,0.0000,-4.17,,5.00
265fdc289dffa9f1ad801c74f7d0de47,1,546.55,546.55,1,0.0000,-7.13,,5.00
26785a546900236d66f2e4197c211158,15,1244.65,82.98,15,0.0000,-17.95,,4.67
269c5fc9fcadee614364c3620c30a1f9,3,254.72,84.91,3,0.3333,-1.92,0.92,5.00
269cff2d3c8d205c11f37a52402ea93b,4,1415.00,353.75,4,0.0000,-8.52,,4.50
26af45f5dfd967225a832838aa4e24a3,10,986.88,98.69,10,0.0000,-13.51,,4.10
26b482dccfa29bd2e40703ba45523702,3,412.41,137.47,3,0.0000,-6.15,,5.00
26bad72add1f86e08a776ce4ffdaf1ca,7,745.92,106.56,7,0.0000,-12.74,,4.43
26d6bbee02420494d471c9f6436929c0,12,681.70,56.81,12,0.0000,-10.08,,4.67
26d8a1c7c75d513045798992ead43aa2,36,8945.78,248.49,34,0.0882,-11.45,13.75,4.31
26e13b6ff5b641b329e5524241ee2c93,4,225.88,56.47,4,0.0000,-9.70,,4.00
26e2c91ef821e1ff8985f408788fe35b,12,1923.87,160.32,12,0.4167,2.24,23.43,3.00
26e2e5033827d2ba53929f43e03d8ffe,1,154.78,154.78,1,0.0000,-13.20,,5.00
26f6b7ab07be3e9e69ce82a6552efc19,2,80.75,40.38,2,0.5000,-2.18,1.71,3.00
270297ead4c65a6cd2593960d2af6b21,18,10073.73,559.65,17,0.0000,-13.25,,3.82
270572bb714b00531be85e16e1550f26,1,111.76,111.76,1,0.0000,-15.03,,5.00
2709af9587499e95e803a6498a5a56e9,26,1888.69,72.64,25,0.1200,-9.47,7.43,3.84
270d3ef21830ad0ecf3a6c53d08a533a,6,743.67,123.95,5,0.0000,-8.43,,2.33
271b8923c6a549e02d3c9fd1f8c0422b,1,118.59,118.59,1,1.0000,4.99,4.99,4.00
271c58a1d139c45eaf3316107c6d3a3b,29,4568.71,157.54,27,0.0741,-10.54,6.28,4.07
