seller_state,customer_state,orders,delivered_orders,late_rate,avg_days_late_when_late
PB,SP,7,7,0.0000,
PE,AL,9,9,0.1111,6.84
PE,AP,1,1,0.0000,
PE,BA,25,25,0.0000,
PE,CE,17,17,0.0588,15.72
PE,DF,16,15,0.0667,8.61
PE,ES,17,17,0.0000,
PE,GO,12,12,0.0000,
PE,MA,5,5,0.0000,
PE,MG,60,60,0.0000,
PE,MS,2,2,0.0000,
PE,MT,1,1,0.0000,
PE,PA,5,5,0.0000,
PE,PB,8,8,0.0000,
PE,PE,23,23,0.0435,1.90
PE,PI,8,8,0.2500,2.22
PE,PR,9,9,0.1111,5.69
PE,RJ,43,42,0.0714,10.41
PE,RN,4,4,0.0000,
PE,RO,3,3,0.0000,
PE,RS,13,13,0.1538,8.39
PE,SC,9,9,0.3333,2.62
PE,SE,7,7,0.0000,
PE,SP,105,104,0.0288,9.50
PE,TO,1,1,0.0000,
PI,CE,1,1,0.0000,
PI,MA,1,1,0.0000,
PI,MG,2,2,0.0000,
PI,PB,1,1,0.0000,
PI,PE,1,1,0.0000,
PI,PI,1,1,0.0000,
PI,PR,1,1,0.0000,
PI,RJ,1,0,,
PI,SC,1,1,0.0000,
PI,SP,2,2,0.0000,
PR,AC,1,1,0.0000,
PR,AL,38,35,0.4000,10.94
PR,AM,11,11,0.0000,
PR,AP,2,2,0.0000,
PR,BA,147,143,0.1678,15.87
PR,CE,66,64,0.1406,28.19
PR,DF,153,151,0.0397,5.60
PR,ES,107,107,0.0935,15.64
PR,GO,91,87,0.0460,12.67
PR,MA,41,41,0.1951,7.21
PR,MG,836,824,0.0522,10.02
PR,MS,55,55,0.0364,4.71
PR,MT,62,59,0.0508,16.28
PR,PA,55,53,0.1321,7.87
PR,PB,41,41,0.1463,11.01
PR,PE,90,86,0.1279,10.05
PR,PI,27,25,0.0800,0.55
PR,PR,729,712,0.0435,3.25
PR,RJ,997,968,0.1395,13.56
PR,RN,20,20,0.1500,15.77
PR,RO,18,18,0.0000,
PR,RR,5,5,0.0000,
PR,RS,591,582,0.0515,8.27
PR,SC,395,388,0.0670,8.81
PR,SE,23,22,0.1818,7.10
PR,SP,2980,2920,0.0356,9.38
PR,TO,15,15,0.2000,5.83
RJ,AC,1,1,0.0000,
RJ,AL,13,13,0.1538,9.71
RJ,AM,9,8,0.0000,
RJ,AP,1,1,0.0000,
RJ,BA,138,135,0.1111,14.76
RJ,CE,57,54,0.2222,19.66
RJ,DF,103,99,0.0808,13.64
RJ,ES,99,99,0.0202,7.22
RJ,GO,109,107,0.0748,9.15
RJ,MA,27,26,0.0769,17.75
RJ,MG,560,550,0.0727,8.39
RJ,MS,32,32,0.1250,6.36
RJ,MT,30,29,0.1034,2.94
RJ,PA,37,37,0.0541,18.04
RJ,PB,25,24,0.0000,
RJ,PE,94,91,0.1319,9.39
RJ,PI,23,22,0.1364,7.05
RJ,PR,205,202,0.0891,9.31
RJ,RJ,989,954,0.0650,8.62
RJ,RN,23,22,0.1364,21.92
RJ,RO,13,13,0.1538,9.53
RJ,RS,205,197,0.0964,8.46
RJ,SC,117,112,0.1071,12.59
RJ,SE,18,18,0.1667,5.77
RJ,SP,1357,1316,0.0912,9.55
RJ,TO,14,14,0.0714,1.70
RN,AL,1,1,0.0000,
RN,BA,5,5,0.2000,5.80
RN,CE,3,3,0.3333,20.61
RN,DF,1,1,0.0000,
RN,MG,1,1,0.0000,
RN,PA,1,1,0.0000,
RN,PB,2,2,0.0000,
RN,PR,4,4,0.2500,7.55
RN,RJ,2,2,0.0000,
RN,RN,21,21,0.0000,
RN,RS,4,4,0.5000,4.23
RN,SC,1,1,0.0000,
RN,SP,5,5,0.0000,
RO,BA,1,1,0.0000,
RO,ES,1,1,0.0000,
RO,PR,1,1,0.0000,
RO,RJ,2,2,0.0000,
RO,RS,1,1,0.0000,
RO,SE,1,1,0.0000,
RO,SP,7,7,0.0000,
RS,AC,2,2,0.0000,
RS,AL,10,10,0.0000,
RS,AM,5,5,0.0000,
RS,AP,3,3,0.0000,
RS,BA,42,42,0.1667,7.25
RS,CE,12,12,0.1667,2.71
